Gene Name,"'Astrocytoma, Pilocytic' vs 'normal'.foldChange",'ependymoma' vs 'normal'.foldChange,'glioblastoma' vs 'normal'.foldChange,'medulloblastoma' vs 'normal'.foldChange
TSPAN6,1.9,3.2,1.8,1.2
TNMD,0.1,1.5,0.3,-0.1
DPM1,,0.2,0.6,0.5
SCYL3,0.2,0.2,0.2,0.4
C1orf112,1.1,1.0,1.7,1.8
FGR,0.3,-0.1,0.4,-0.5
CFH,1.5,0.6,0.8,0.5
FUCA2,0.6,0.9,0.8,0.2
GCLC,-0.3,-0.2,-0.3,-0.2
NFYA,0.3,0.3,0.5,0.8
STPG1,-1.2,0.4,-1.5,-0.8
NIPAL3,-0.9,-1.7,-1.9,-1.8
LAS1L,-0.1,0.5,0.5,1.0
ENPP4,0.3,-0.5,-0.9,-1.5
SEMA3F,-0.4,-0.3,-0.4,0.1
CFTR,-0.4,-0.4,-0.2,
ANKIB1,0.3,0.2,0.3,0.2
RAD52,-0.1,0.2,0.3,0.6
MYH16,,0.1,-0.1,-0.1
BAD,-0.6,-0.2,-0.6,-0.6
LAP3,0.9,0.6,1.1,0.4
CD99,1.2,1.3,1.1,-0.2
HS3ST1,1.8,-1.5,-0.2,-1.8
AOC1,,,0.1,
WNT16,-0.3,-0.3,,-0.2
HECW1,,-0.2,-0.2,-0.3
LASP1,-0.1,-0.3,-0.2,-0.1
SNX11,0.1,0.1,0.2,0.1
TMEM176A,2.2,0.7,1.1,0.4
M6PR,0.2,-0.1,0.3,-0.5
KLHL13,1.0,0.4,0.8,0.7
CYP26B1,-1.1,-2.2,-1.9,-0.6
ICA1,-0.5,-0.9,-0.7,-1.3
DBNDD1,-0.5,-1.6,-0.9,-1.1
ALS2,-1.0,-0.6,-0.7,0.1
CASP10,0.6,0.4,0.5,0.1
CFLAR,0.8,0.7,0.9,0.6
TFPI,2.6,1.0,2.8,0.3
NDUFAF7,-0.1,-0.1,0.2,0.5
RBM5,0.1,0.3,0.3,0.6
MTMR7,-0.9,-1.1,-1.2,-1.1
SLC7A2,-1.7,0.2,-1.1,-2.4
SARM1,,-0.1,0.2,0.7
POLDIP2,-0.2,-0.2,,0.1
PLXND1,,-0.5,-0.1,-0.7
AK2,1.6,1.2,1.0,0.1
CD38,0.6,0.6,0.6,0.2
FKBP4,-1.2,-0.8,-0.6,-0.2
KDM1A,,0.4,0.5,1.8
RBM6,-0.4,-0.1,,0.4
CAMKK1,-1.8,-1.6,-1.4,-0.5
RECQL,1.4,1.1,1.8,1.6
VPS50,-0.5,-0.6,-0.3,-0.3
HSPB6,0.3,-0.1,,-1.2
ARHGAP33,-0.5,-1.1,-0.6,-0.2
NDUFAB1,-0.4,-0.3,-0.3,-0.1
PDK4,-0.2,-1.4,-1.4,-2.0
SLC22A16,-0.2,-0.1,-0.1,0.2
ABCB5,0.3,0.1,0.3,0.3
ARX,-2.6,-2.9,-1.1,-3.4
SLC25A13,1.2,1.1,1.7,2.0
ST7,-0.2,,0.3,0.3
CDC27,,-0.3,-0.3,
SLC4A1,-0.4,-0.5,-0.3,-0.4
CALCR,-0.2,-0.3,-0.2,-0.2
HCCS,-0.7,-0.8,-0.5,-0.7
DVL2,0.4,0.4,0.5,0.6
PRSS22,-0.7,-0.7,-0.7,-0.6
UPF1,,0.5,0.1,0.2
SKAP2,-0.5,-0.2,-0.5,-1.6
SLC25A5,0.2,-0.1,0.3,0.1
MCUB,1.7,1.8,1.7,0.2
HOXA11,0.1,,0.5,0.8
DHX33,0.1,,0.3,
MEOX1,-0.3,-0.3,-0.3,
THSD7A,-0.7,-1.5,-0.7,0.7
LIG3,0.1,0.8,0.3,1.7
RPAP3,0.2,1.0,0.7,0.7
ACSM3,,,0.1,0.1
REXO5,0.3,0.7,0.9,1.8
CIAPIN1,-0.1,-0.1,0.3,0.5
SPPL2B,0.1,0.4,0.3,0.2
FAM214B,-0.3,-0.3,-0.3,-0.7
COPZ2,0.5,0.6,0.5,-0.2
PRKAR2B,-1.6,-2.2,-1.2,0.5
MSL3,-0.4,-0.2,-0.2,-0.1
CREBBP,0.3,0.2,0.3,0.9
TSPOAP1,-1.3,-0.8,-1.6,-1.4
MPO,0.1,-0.1,,0.1
PON1,0.3,0.2,0.4,
GCFC2,0.9,0.5,1.0,0.2
WDR54,-0.3,1.3,0.5,0.5
CROT,0.6,0.7,1.0,0.3
ABCB4,1.5,1.0,1.9,1.6
KMT2E,-0.3,-0.7,-0.4,0.4
RHBDD2,-0.4,,-0.4,-1.1
SOX8,2.2,-1.6,0.9,-2.5
IBTK,0.8,0.3,0.5,0.7
ZNF195,0.6,0.6,0.7,1.5
MYCBP2,-1.0,-1.8,-1.7,-1.0
FBXL3,,,-0.5,-0.3
ITGAL,0.3,-0.1,,-0.3
PDK2,-0.5,-0.5,-1.1,-0.8
ZFX,0.9,1.1,0.9,0.9
