GeneNames,logFC,p_values
TSPAN6,1.9,1.73373743547369E-10
TNMD,0.1,0.634268873240931
DPM1,,
SCYL3,0.2,0.563864101652293
C1orf112,1.1,4.56602238051959E-05
FGR,0.3,0.31582217934553
CFH,1.5,0.00218866269809452
FUCA2,0.6,0.00478742982911296
GCLC,-0.3,0.156701377209697
NFYA,0.3,0.21484959743892
STPG1,-1.2,2.75646855712223E-08
NIPAL3,-0.9,0.00243750496924709
LAS1L,-0.1,0.723793634049713
ENPP4,0.3,0.345819444515727
SEMA3F,-0.4,0.110344690817373
CFTR,-0.4,0.00833163520590952
ANKIB1,0.3,0.0802716345226668
RAD52,-0.1,0.746643244983989
MYH16,,
BAD,-0.6,0.0124510785483177
LAP3,0.9,8.74106674070139E-06
CD99,1.2,1.75401307615888E-04
HS3ST1,1.8,8.93099219159467E-04
AOC1,,
WNT16,-0.3,0.0878052889777996
HECW1,,
LASP1,-0.1,0.417975372924828
SNX11,0.1,0.42683703108243
TMEM176A,2.2,3.80713912207074E-08
M6PR,0.2,0.0794375940133448
KLHL13,1.0,6.45421161509943E-04
CYP26B1,-1.1,0.0216414905763162
ICA1,-0.5,0.00282916627193032
DBNDD1,-0.5,0.025716475041148
ALS2,-1.0,0.00512018739999477
CASP10,0.6,1.61663575136369E-04
CFLAR,0.8,6.03005595433035E-05
TFPI,2.6,4.66065180393519E-06
NDUFAF7,-0.1,0.606275555976575
RBM5,0.1,0.569394186844796
MTMR7,-0.9,0.00680888584223064
SLC7A2,-1.7,1.22815403548504E-05
SARM1,,
POLDIP2,-0.2,0.0731470369678397
PLXND1,,
AK2,1.6,3.44246646251704E-12
CD38,0.6,0.0157039768000083
FKBP4,-1.2,2.29235354784563E-08
KDM1A,,
RBM6,-0.4,0.151278199080958
CAMKK1,-1.8,1.19190218864926E-07
RECQL,1.4,2.10695531471821E-06
VPS50,-0.5,0.0229248233308982
HSPB6,0.3,0.557014905086313
ARHGAP33,-0.5,0.155112722569384
NDUFAB1,-0.4,0.0917618736958735
PDK4,-0.2,0.671312427957063
SLC22A16,-0.2,0.253237536435359
ABCB5,0.3,0.179353154872884
ARX,-2.6,0.00212646950503661
SLC25A13,1.2,2.25440409440836E-04
ST7,-0.2,0.528781150935767
CDC27,,
SLC4A1,-0.4,0.0438269345198814
CALCR,-0.2,0.161183570809923
HCCS,-0.7,0.00294938937808301
DVL2,0.4,0.0404400618715773
PRSS22,-0.7,6.22855088865261E-04
UPF1,,
SKAP2,-0.5,0.230909116335152
SLC25A5,0.2,0.286475203386613
MCUB,1.7,3.22117416347608E-07
HOXA11,0.1,0.478987238353169
DHX33,0.1,0.320063571037466
MEOX1,-0.3,0.129194335052533
THSD7A,-0.7,0.0366226383026909
LIG3,0.1,0.372205533978574
RPAP3,0.2,0.428892294872812
ACSM3,,
REXO5,0.3,0.184470386281074
CIAPIN1,-0.1,0.621308412693375
SPPL2B,0.1,0.39524260944814
FAM214B,-0.3,0.207639025976587
COPZ2,0.5,0.0930349686404187
PRKAR2B,-1.6,4.43235726174419E-04
MSL3,-0.4,0.0132253154775928
CREBBP,0.3,0.137376500697107
TSPOAP1,-1.3,1.05523890547989E-04
MPO,0.1,0.480360757319693
PON1,0.3,0.233884022949258
GCFC2,0.9,1.23753102619882E-04
WDR54,-0.3,0.256603093187027
CROT,0.6,3.11240904537306E-04
ABCB4,1.5,3.69856442356137E-07
KMT2E,-0.3,0.231629328886357
RHBDD2,-0.4,0.0565460627457331
SOX8,2.2,4.06658274316448E-08
IBTK,0.8,0.00452556358754825
ZNF195,0.6,2.22360907140848E-04
MYCBP2,-1.0,3.97790322361115E-05
FBXL3,,
ITGAL,0.3,0.17883727238652
PDK2,-0.5,0.0165525286636554
ZFX,0.9,8.16010337527958E-05
LAMP2,0.7,0.0390365517339133
ITGA2B,-0.5,0.0118008610031876
ASB4,-0.4,0.108973514054074
GDE1,-0.3,0.0788789668007606
REX1BD,-0.6,0.0305108571373473
CRLF1,-0.6,0.193920091444002
OSBPL7,0.1,0.736545036690044
TMEM98,-0.2,0.616134374988059
YBX2,-0.3,0.311971509548353
KRT33A,-0.3,0.0250456175647515
MAP3K14,0.2,0.426889055367594
ABCC8,-0.7,0.0430841529058803
CACNG3,-3.4,9.59990742676285E-08
TMEM132A,-1.0,9.65889608930324E-05
AP2B1,,
TAC1,-5.4,1.05419350245924E-09
ZNF263,-0.4,0.0521776363954142
CX3CL1,-0.8,0.0264280438557259
SPATA20,-0.5,0.0186076393739072
CACNA1G,,
TNFRSF12A,0.8,0.0194800830687928
DLX6,-0.7,0.0364553863049765
MAP3K9,-2.6,1.11120768508666E-10
RALA,0.2,0.269206396291898
BAIAP2L1,-0.6,0.00183116027838295
KDM7A,-0.5,0.0639393342195902
ETV1,1.3,0.0124699929229458
AGK,-0.2,0.201157915256886
ALDH3B1,0.1,0.530870458605805
TTC22,0.3,0.254845554983656
PHTF2,0.1,0.836243328796284
CCL26,0.3,0.0309700769713117
FARP2,1.2,2.05823378557738E-06
USH1C,0.6,0.111804062340535
GGCT,-0.8,0.00173892007060742
DBF4,0.3,0.334920265459196
TBXA2R,1.4,8.04331260043612E-08
IFRD1,-0.3,0.302779358736393
LGALS14,0.1,0.65886282973705
COX10,0.2,0.575325166482988
COX10,-0.1,0.311396633131447
GTF2IRD1,0.2,0.358546205478352
PAF1,0.1,0.746643244983989
VPS41,,
ARHGAP44,-1.3,1.29359008258294E-08
ELAC2,-0.1,0.760759637479211
SCIN,0.3,0.00554176651009485
ARSD,0.6,0.00431630708926603
PNPLA4,-0.5,0.0674850319145572
MYH13,-0.3,0.173652193790588
ADIPOR2,-0.1,0.655302432062611
CDKL3,0.1,0.748540118456683
UPP2,-0.7,0.0165703842294521
PRSS21,0.1,0.616943012808341
MARK4,-0.8,1.48821175057475E-05
PROM1,1.1,0.107492278034994
CCDC124,-0.1,0.707449485250717
CEACAM21,0.2,0.254845554983656
PAFAH1B1,-0.6,6.34437177267397E-04
NOS2,-0.8,1.73150614139847E-04
DNAH9,0.5,0.00891062525177174
KIAA0100,0.2,0.448450353018921
SLC13A2,-0.4,0.0307368807835821
GAS7,-2.0,4.64870227656068E-06
TRAPPC6A,-0.2,0.352845831122425
MATK,-1.9,2.17833256459135E-06
CEACAM7,-0.1,0.336049225425864
CD79B,-0.4,0.0372673380162049
SCN4A,-0.3,0.264307049519823
ST7L,0.3,0.0148597551281856
TKTL1,1.2,0.0132946359008501
PAX6,-2.2,5.08397783129195E-06
RPUSD1,-0.2,0.134531704357918
RHBDF1,1.5,4.41467327956858E-08
LUC7L,-0.2,0.519135326109372
CACNA2D2,-1.3,3.41361780215876E-05
BAIAP3,-0.9,0.0018358427494237
TSR3,-0.1,0.826609308490369
PIGQ,,
CRAMP1,0.1,0.716492590757889
TEAD3,0.9,4.10113209075502E-06
SELE,0.1,0.748339946624726
DNAJC11,-0.4,5.89616327761303E-04
FMO3,0.3,0.176079530491674
MYLIP,-0.7,0.00158414475317703
NOX1,0.1,0.639839723319601
E2F2,0.3,0.118248107403731
PSMB1,0.3,0.107474378912742
SYN1,-2.7,1.58046993645803E-09
JARID2,-0.4,0.178228252857562
CDKL5,-2.2,5.36545200992441E-05
CAMK1G,-1.5,0.00164204139380755
NADK,0.1,0.634688862403198
TFAP2B,-0.1,0.745246676955675
TFAP2D,-0.2,0.256327282839628
DLEC1,0.1,0.662516975694588
CYTH3,-0.6,0.0240417825423674
