GeneNames,logFC,p_values
TSPAN6,3.2,1.32536417822897E-19
TNMD,1.5,0.00214888379252918
DPM1,0.2,0.266987878926541
SCYL3,0.2,0.42002955467922
C1orf112,1.0,2.59194499648688E-05
FGR,-0.1,0.702653226093361
CFH,0.6,0.156790461658738
FUCA2,0.9,1.64198023348838E-06
GCLC,-0.2,0.52035100790241
NFYA,0.3,0.0770124817468462
STPG1,0.4,0.0418843448921042
NIPAL3,-1.7,7.49676979209536E-09
LAS1L,0.5,3.16358134594766E-04
ENPP4,-0.5,0.246301741196024
SEMA3F,-0.3,0.0981541925108474
CFTR,-0.4,4.68558355224272E-04
ANKIB1,0.2,0.364573293251866
RAD52,0.2,0.477675832947034
MYH16,0.1,0.450916322607215
BAD,-0.2,0.315363983974577
LAP3,0.6,0.0102976364422932
CD99,1.3,9.34808376840693E-06
HS3ST1,-1.5,0.0080188301351947
AOC1,,
WNT16,-0.3,0.0182177794802574
HECW1,-0.2,0.247828017046097
LASP1,-0.3,0.114800898763471
SNX11,0.1,0.646133407716337
TMEM176A,0.7,0.0151445628194366
M6PR,-0.1,0.45757623807637
KLHL13,0.4,0.210143210502784
CYP26B1,-2.2,3.8286664323489E-08
ICA1,-0.9,8.98218577186553E-05
DBNDD1,-1.6,7.04982712360768E-12
ALS2,-0.6,0.00711965107052978
CASP10,0.4,0.00200846064612527
CFLAR,0.7,1.47747298470437E-05
TFPI,1.0,0.0298035262248729
NDUFAF7,-0.1,0.509475896538486
RBM5,0.3,0.0238982018714803
MTMR7,-1.1,4.34069174562021E-06
SLC7A2,0.2,0.670542693792531
SARM1,-0.1,0.667458749280474
POLDIP2,-0.2,0.0239380639366116
PLXND1,-0.5,0.0486610197020197
AK2,1.2,6.73299354780706E-09
CD38,0.6,0.0145076042120185
FKBP4,-0.8,5.83643584310429E-07
KDM1A,0.4,0.0224337655597264
RBM6,-0.1,0.728752851568782
CAMKK1,-1.6,7.23190351549643E-13
RECQL,1.1,2.53695517066763E-05
VPS50,-0.6,9.56659471050445E-04
HSPB6,-0.1,0.842225147242413
ARHGAP33,-1.1,4.70534863735535E-07
NDUFAB1,-0.3,0.0242709742068394
PDK4,-1.4,7.06213994021701E-05
SLC22A16,-0.1,0.711251489296313
ABCB5,0.1,0.43338249613364
ARX,-2.9,1.88241001525863E-05
SLC25A13,1.1,3.23732000229231E-05
ST7,,
CDC27,-0.3,0.0901307834374796
SLC4A1,-0.5,7.711795331354E-05
CALCR,-0.3,0.00544147335166143
HCCS,-0.8,3.09243038794752E-04
DVL2,0.4,0.0203086524681691
PRSS22,-0.7,2.708888551602E-05
UPF1,0.5,0.00239884985844059
SKAP2,-0.2,0.756535303832381
SLC25A5,-0.1,0.478249645425025
MCUB,1.8,2.16020053443274E-11
HOXA11,,
DHX33,,
MEOX1,-0.3,0.0144003844558595
THSD7A,-1.5,1.65058714063415E-04
LIG3,0.8,5.421571006717E-06
RPAP3,1.0,8.08755463035801E-06
ACSM3,,
REXO5,0.7,1.54289442854833E-04
CIAPIN1,-0.1,0.54856147454524
SPPL2B,0.4,0.005943026891328
FAM214B,-0.3,0.064593566008892
COPZ2,0.6,0.0445761001025399
PRKAR2B,-2.2,1.44118828106254E-08
MSL3,-0.2,0.265170628254461
CREBBP,0.2,0.0719328898660644
TSPOAP1,-0.8,5.98480276769413E-04
MPO,-0.1,0.701745091871535
PON1,0.2,0.393768732797955
GCFC2,0.5,0.0167842346208506
WDR54,1.3,1.18356208025368E-07
CROT,0.7,1.35273961417522E-06
ABCB4,1.0,2.10035703269344E-05
KMT2E,-0.7,0.00516383167114468
RHBDD2,,
SOX8,-1.6,0.0038873361884269
IBTK,0.3,0.163748090569251
ZNF195,0.6,0.00268808013641207
MYCBP2,-1.8,2.70471708934343E-13
FBXL3,,
ITGAL,-0.1,0.766750106065417
PDK2,-0.5,0.00474637714415178
ZFX,1.1,8.59328394444108E-10
LAMP2,0.5,0.0568756766120639
ITGA2B,-0.5,0.00133616016005074
ASB4,-0.7,4.03341781375005E-06
GDE1,-0.7,1.52664168968869E-05
REX1BD,-0.7,0.00206596574731736
CRLF1,2.7,3.39182462987747E-07
OSBPL7,-0.3,0.124525864883011
TMEM98,1.5,2.61343293116685E-07
YBX2,-0.1,0.806850250492432
KRT33A,-0.3,0.0321760097529693
MAP3K14,0.2,0.178333449977793
ABCC8,-2.1,5.40254377243532E-15
CACNG3,-3.6,2.61162624959489E-18
TMEM132A,-0.6,2.56005233852662E-04
AP2B1,-0.5,0.0427726903468374
TAC1,-5.2,1.29218313793539E-15
ZNF263,-0.2,0.216554339337784
CX3CL1,-1.0,0.0117874201430189
SPATA20,-0.3,0.036021136206247
CACNA1G,-0.7,3.18742594739819E-04
TNFRSF12A,1.0,3.24668146887288E-04
DLX6,-0.9,0.017088472254991
MAP3K9,-2.9,1.86385089161486E-19
RALA,-0.4,0.0200080907325548
BAIAP2L1,-0.4,0.00455593250188868
KDM7A,-0.2,0.33587429124095
ETV1,-2.2,9.57301621915289E-06
AGK,-0.3,0.0132761862584406
ALDH3B1,,
TTC22,0.3,0.233984761500159
PHTF2,-0.6,0.0268470923271198
CCL26,0.2,0.114435455503279
FARP2,0.7,5.10305977093313E-05
USH1C,0.4,0.25831299061468
GGCT,-0.7,5.25953329058773E-04
DBF4,0.1,0.774954112785501
TBXA2R,0.7,4.97863398154498E-05
IFRD1,-0.3,0.274683721871985
LGALS14,-0.1,0.702078455488108
COX10,0.4,0.0448451353930732
COX10,-0.2,0.0796999848323845
GTF2IRD1,0.4,0.025080822073102
PAF1,0.2,0.362819733754402
VPS41,,
ARHGAP44,-1.5,3.19236370095488E-18
ELAC2,0.2,0.15294463583747
SCIN,0.3,0.0572999862776815
ARSD,0.9,1.70851028576155E-05
PNPLA4,-0.1,0.788777223099654
MYH13,-0.3,0.00555981010169223
ADIPOR2,-0.3,0.0956780467836893
CDKL3,0.1,0.733267204008993
UPP2,-1.2,1.2516338221432E-06
PRSS21,0.2,0.304764541210591
MARK4,-0.7,1.30579984496438E-06
PROM1,2.9,5.15488271829216E-10
CCDC124,-0.1,0.486006677662384
CEACAM21,-0.1,0.507096272544718
PAFAH1B1,-0.9,5.68380005906927E-08
NOS2,-0.8,1.06338148745352E-07
DNAH9,1.9,1.39629273223925E-08
KIAA0100,0.3,0.0427947932391357
SLC13A2,-0.4,0.00138268223131627
GAS7,-1.6,6.36616329225718E-08
TRAPPC6A,0.3,0.104396287664319
MATK,-1.4,4.2133040391425E-06
CEACAM7,-0.2,0.0664405678116135
CD79B,-0.2,0.149625294671916
SCN4A,-0.4,0.0396362229419264
ST7L,0.4,0.00522132458138467
TKTL1,2.5,1.47140424053435E-05
PAX6,1.4,2.45514423229784E-04
RPUSD1,-0.3,0.0100853555282448
RHBDF1,0.2,0.41338812376815
LUC7L,-0.1,0.590639299939075
CACNA2D2,-0.8,0.0402146762917173
BAIAP3,1.8,1.54128195355558E-06
TSR3,,
PIGQ,0.5,0.0039479778435396
CRAMP1,-0.1,0.706789201541123
TEAD3,1.0,4.80434778051164E-07
SELE,,
DNAJC11,-0.5,3.50755317425475E-07
FMO3,1.4,0.00878565072998633
MYLIP,-0.2,0.264445016079108
NOX1,0.1,0.749537281523789
E2F2,0.4,0.0309158215827851
PSMB1,0.3,0.0591807650526246
SYN1,-4.1,1.39786638974979E-23
JARID2,-0.5,0.0559392101411741
CDKL5,-2.3,2.3768310564333E-08
CAMK1G,-1.6,9.61762624358193E-06
NADK,,
TFAP2B,-0.1,0.719904396902443
TFAP2D,-0.2,0.169820478179527
DLEC1,1.2,2.23166506502288E-05
CYTH3,-0.7,0.00155885613491347
ADAM22,-3.2,7.74488415598002E-14
SYPL1,1.3,2.49903030488282E-08
CYB561,0.2,0.246107226062559
SPAG9,-0.4,0.0427757142150372
CELSR3,-2.1,6.80208955685122E-09
AASS,0.9,8.08904229814991E-05
PLEKHG6,-0.4,0.00485111166529605
SS18L2,-0.8,3.64922718242944E-06
MPND,-0.4,0.012154817828526
MGST1,1.3,2.6853536311195E-08
CRY1,0.5,0.00942245495679737
PGLYRP1,-0.3,0.0346647689110417
NFIX,0.8,4.53159832659321E-04
ST3GAL1,-0.5,0.0129596686859823
MMP25,,
IL32,0.8,0.0289617111876264
PKD1,-0.1,0.79413315995298
MAPK8IP2,-0.9,8.48750591608566E-06
MED24,,
RHOBTB2,-0.7,0.0080188301351947
HEATR5B,-0.8,0.00131380659320732
SEC62,-0.4,0.0215818596328508
RPS20,0.4,6.45336640830573E-04
CSDE1,,
UBE3C,-0.4,0.0145287573578556
REV3L,0.5,0.0247005026021724
TENM1,-3.0,1.46844144531974E-07
PAX7,-0.1,0.365304550240432
MASP2,-0.3,0.00495918819630884
IYD,-0.2,0.0118588977370696
FAM76A,0.6,0.0199526414704175
TRAF3IP3,0.2,0.0662998707288508
POMT2,0.5,0.00162862165615517
VTA1,-0.4,0.0234695444246862
MLXIPL,-0.6,1.09051357396123E-05
BAZ1B,,
RANBP9,-0.3,0.147575264950712
ETV7,-0.3,0.0484224555800509
SPRTN,0.9,2.01428076011841E-05
EEF1AKNMT,0.3,0.0123932529932186
DYRK4,0.3,0.0759057983798286
ZNF207,0.2,0.194486532373204
UQCRC1,-0.2,0.0596309723892724
STARD3NL,0.1,0.65355997498891
CD9,1.7,1.26922900139813E-11
HHATL,-1.5,0.0074243610221387
NCAPD2,1.3,3.1892016104202E-14
IFFO1,-0.4,0.0537124157182078
GIPR,-0.1,0.430121253119214
PHF7,0.4,0.00163442462689901
SEMA3G,-1.5,2.45181359363516E-10
NISCH,-0.8,2.84640478269279E-05
