GeneNames,logFC,p_values
TSPAN6,1.8,3.95848608445826E-10
TNMD,0.3,0.309153930669991
DPM1,0.6,0.0018815591326181
SCYL3,0.2,0.571020801538189
C1orf112,1.7,2.60613015731421E-07
FGR,0.4,0.107491297665586
CFH,0.8,0.0724164989176738
FUCA2,0.8,7.48386803159133E-04
GCLC,-0.3,0.288616882040965
NFYA,0.5,0.0120718487260105
STPG1,-1.5,2.55042077778839E-07
NIPAL3,-1.9,6.56109458258496E-05
LAS1L,0.5,3.59131267248917E-04
ENPP4,-0.9,0.0410015309438988
SEMA3F,-0.4,0.0874107431988399
CFTR,-0.2,0.278684584943493
ANKIB1,0.3,0.0934981917927818
RAD52,0.3,0.1437755814773
MYH16,-0.1,0.53014324029896
BAD,-0.6,0.00729381042690269
LAP3,1.1,8.60626329222977E-06
CD99,1.1,2.93710345283828E-04
HS3ST1,-0.2,0.789651870909845
AOC1,0.1,0.528741892380898
WNT16,,
HECW1,-0.2,0.267741658651477
LASP1,-0.2,0.323173769648752
SNX11,0.2,0.266419436542194
TMEM176A,1.1,0.00114318307526208
M6PR,0.3,0.0869346086125446
KLHL13,0.8,0.0107157590647406
CYP26B1,-1.9,6.55791657303463E-05
ICA1,-0.7,1.11134350398102E-04
DBNDD1,-0.9,3.06320491404354E-04
ALS2,-0.7,0.00765861806573814
CASP10,0.5,4.13517560001972E-04
CFLAR,0.9,5.51010730728058E-05
TFPI,2.8,4.51505401872796E-08
NDUFAF7,0.2,0.438296062330242
RBM5,0.3,0.0498123660204478
MTMR7,-1.2,2.07208003599898E-05
SLC7A2,-1.1,0.00235237306130576
SARM1,0.2,0.389785922683907
POLDIP2,,
PLXND1,-0.1,0.669715800154507
AK2,1.0,1.49570529101527E-04
CD38,0.6,6.27923878064947E-04
FKBP4,-0.6,5.54843771131039E-05
KDM1A,0.5,0.0181934527898055
RBM6,,
CAMKK1,-1.4,6.73496816784744E-08
RECQL,1.8,8.78194767864387E-10
VPS50,-0.3,0.161689978259512
HSPB6,,
ARHGAP33,-0.6,0.0678449668138198
NDUFAB1,-0.3,0.177301465779535
PDK4,-1.4,0.00155842967947362
SLC22A16,-0.1,0.387564007248391
ABCB5,0.3,0.184564608481512
ARX,-1.1,0.14028083828559
SLC25A13,1.7,4.67660385476843E-06
ST7,0.3,0.247456777976083
CDC27,-0.3,0.200934192883226
SLC4A1,-0.3,0.00886887933180494
CALCR,-0.2,0.168857223147259
HCCS,-0.5,0.0287935343890799
DVL2,0.5,0.0113744310258928
PRSS22,-0.7,6.55566888709301E-05
UPF1,0.1,0.572409840299984
SKAP2,-0.5,0.403823261036621
SLC25A5,0.3,0.0526204752543467
MCUB,1.7,6.35438326011791E-05
HOXA11,0.5,0.0216076476286296
DHX33,0.3,0.188869940060227
MEOX1,-0.3,0.00620874759978155
THSD7A,-0.7,0.0931550445674895
LIG3,0.3,0.063571056896943
RPAP3,0.7,0.00425331754529513
ACSM3,0.1,0.416658875842478
REXO5,0.9,0.00120093924659728
CIAPIN1,0.3,0.127522666195251
SPPL2B,0.3,0.0620721659433259
FAM214B,-0.3,0.04877358181267
COPZ2,0.5,0.08268220813873
PRKAR2B,-1.2,9.66044170289271E-04
MSL3,-0.2,0.409686024388961
