GeneNames,logFC,p_values
TSPAN6,1.2,3.92754712188532E-05
TNMD,-0.1,0.768523108694815
DPM1,0.5,0.0257922422311677
SCYL3,0.4,0.176016966465375
C1orf112,1.8,2.46688771656741E-06
FGR,-0.5,0.00682235230961194
CFH,0.5,0.158568128522804
FUCA2,0.2,0.406100279264673
GCLC,-0.2,0.500712069223433
NFYA,0.8,4.0905348060562E-04
STPG1,-0.8,0.00472930830903551
NIPAL3,-1.8,2.29129960562049E-08
LAS1L,1.0,2.61924623131539E-08
ENPP4,-1.5,5.55174398765426E-05
SEMA3F,0.1,0.723190761168015
CFTR,,
ANKIB1,0.2,0.188357115639239
RAD52,0.6,0.00722548798267241
MYH16,-0.1,0.538084779357408
BAD,-0.6,0.00765334752814635
LAP3,0.4,0.207864566175222
CD99,-0.2,0.553522897054265
HS3ST1,-1.8,0.00324165252661587
AOC1,,
WNT16,-0.2,0.258477765274643
HECW1,-0.3,0.0582320082751936
LASP1,-0.1,0.534567086623978
SNX11,0.1,0.705947406718423
TMEM176A,0.4,0.28031670221922
M6PR,-0.5,0.017334330345897
KLHL13,0.7,0.414866803637269
CYP26B1,-0.6,0.309658632452947
ICA1,-1.3,5.31198167321567E-10
DBNDD1,-1.1,1.21165827619378E-05
ALS2,0.1,0.812684446916532
CASP10,0.1,0.686392043192186
CFLAR,0.6,0.0112334948184873
TFPI,0.3,0.454891162501519
NDUFAF7,0.5,0.00966524146506303
RBM5,0.6,5.82704067848111E-04
MTMR7,-1.1,7.0696766976787E-04
SLC7A2,-2.4,1.9117822154725E-09
SARM1,0.7,6.249573606452E-04
POLDIP2,0.1,0.331766311152892
PLXND1,-0.7,0.0609108135873633
AK2,0.1,0.496312074601163
CD38,0.2,0.461526623800706
FKBP4,-0.2,0.42738916947422
KDM1A,1.8,5.02578218830109E-14
RBM6,0.4,0.111970297494914
CAMKK1,-0.5,0.184594820769057
RECQL,1.6,2.0149599720385E-08
VPS50,-0.3,0.231771461300858
HSPB6,-1.2,0.00601770673016055
ARHGAP33,-0.2,0.700370838911073
NDUFAB1,-0.1,0.483475802089025
PDK4,-2.0,3.57703306373209E-05
SLC22A16,0.2,0.675057572605234
ABCB5,0.3,0.162950841300947
ARX,-3.4,6.45604256187519E-06
SLC25A13,2.0,7.86292894636531E-09
ST7,0.3,0.309743641439443
CDC27,,
SLC4A1,-0.4,8.69824772593227E-04
CALCR,-0.2,0.136139835251459
HCCS,-0.7,0.010670465865943
DVL2,0.6,0.0157147893970295
PRSS22,-0.6,0.00441486142908798
UPF1,0.2,0.161209445911429
SKAP2,-1.6,0.0016592279927556
SLC25A5,0.1,0.339180637030637
MCUB,0.2,0.808362431284207
HOXA11,0.8,0.0569496638530181
DHX33,,
MEOX1,,
THSD7A,0.7,0.15165802964377
LIG3,1.7,1.74378402137245E-11
RPAP3,0.7,0.00253430248902302
ACSM3,0.1,0.421341238214643
REXO5,1.8,4.35400730255318E-10
CIAPIN1,0.5,4.29959951958847E-04
SPPL2B,0.2,0.204942540230174
FAM214B,-0.7,7.5038696722812E-04
COPZ2,-0.2,0.373868135743216
PRKAR2B,0.5,0.174901587231921
MSL3,-0.1,0.391188751133183
CREBBP,0.9,4.41696835477272E-06
TSPOAP1,-1.4,4.31730245362189E-05
MPO,0.1,0.488748503388632
PON1,,
GCFC2,0.2,0.448470023862501
WDR54,0.5,0.0599031330967008
CROT,0.3,0.226013456834716
ABCB4,1.6,2.64074038439227E-04
KMT2E,0.4,0.0714713755025486
RHBDD2,-1.1,2.47572667120513E-04
SOX8,-2.5,1.06711363880343E-04
IBTK,0.7,0.00283285468766815
ZNF195,1.5,8.69808466081254E-10
MYCBP2,-1.0,6.65185656336701E-06
FBXL3,-0.3,0.173401297178155
ITGAL,-0.3,0.121515349179734
PDK2,-0.8,3.13920747442808E-04
ZFX,0.9,4.39356318471824E-05
LAMP2,-0.3,0.372912731805739
ITGA2B,0.3,0.255277298658444
ASB4,-0.7,0.00123766983224369
GDE1,-0.9,2.08768731115798E-04
REX1BD,-0.4,0.169379418810531
CRLF1,-0.3,0.634159549226989
OSBPL7,,
TMEM98,2.0,8.5123335150274E-08
YBX2,-0.4,0.130266959281943
KRT33A,,
MAP3K14,0.4,0.0536604960378625
